participant,draw,bead
1,1,black
1,2,white
1,3,black
1,4,black
1,5,white
1,6,black
1,7,black
1,8,black
1,9,black
1,10,white
2,1,black
2,2,white
2,3,black
2,4,black
2,5,white
2,6,black
2,7,black
2,8,black
2,9,black
2,10,white
3,1,black
3,2,white
3,3,black
3,4,black
3,5,white
3,6,black
3,7,black
3,8,black
3,9,black
3,10,white
4,1,black
4,2,white
4,3,black
4,4,black
4,5,white
4,6,black
4,7,black
4,8,black
4,9,black
4,10,white
5,1,black
5,2,white
5,3,black
5,4,black
5,5,white
5,6,black
5,7,black
5,8,black
5,9,black
5,10,white
6,1,black
6,2,white
6,3,black
6,4,black
6,5,white
6,6,black
6,7,black
6,8,black
6,9,black
6,10,white
7,1,black
7,2,white
7,3,black
7,4,black
7,5,white
7,6,black
7,7,black
7,8,black
7,9,black
7,10,white
8,1,black
8,2,white
8,3,black
8,4,black
8,5,white
8,6,black
8,7,black
8,8,black
8,9,black
8,10,white
9,1,black
9,2,white
9,3,black
9,4,black
9,5,white
9,6,black
9,7,black
9,8,black
9,9,black
9,10,white
10,1,black
10,2,white
10,3,black
10,4,black
10,5,white
10,6,black
10,7,black
10,8,black
10,9,black
10,10,white
11,1,black
11,2,white
11,3,black
11,4,black
11,5,white
11,6,black
11,7,black
11,8,black
11,9,black
11,10,white
12,1,black
12,2,white
12,3,black
12,4,black
12,5,white
12,6,black
12,7,black
12,8,black
12,9,black
12,10,white
13,1,black
13,2,white
13,3,black
13,4,black
13,5,white
13,6,black
13,7,black
13,8,black
13,9,black
13,10,white
14,1,black
14,2,white
14,3,black
14,4,black
14,5,white
14,6,black
14,7,black
14,8,black
14,9,black
14,10,white
15,1,black
15,2,white
15,3,black
15,4,black
15,5,white
15,6,black
15,7,black
15,8,black
15,9,black
15,10,white
16,1,black
16,2,white
16,3,black
16,4,black
16,5,white
16,6,black
16,7,black
16,8,black
16,9,black
16,10,white
17,1,black
17,2,white
17,3,black
17,4,black
17,5,white
17,6,black
17,7,black
17,8,black
17,9,black
17,10,white
18,1,black
18,2,white
18,3,black
18,4,black
18,5,white
18,6,black
18,7,black
18,8,black
18,9,black
18,10,white
19,1,black
19,2,white
19,3,black
19,4,black
19,5,white
19,6,black
19,7,black
19,8,black
19,9,black
19,10,white
20,1,black
20,2,white
20,3,black
20,4,black
20,5,white
20,6,black
20,7,black
20,8,black
20,9,black
20,10,white
21,1,black
21,2,white
21,3,black
21,4,black
21,5,white
21,6,black
21,7,black
21,8,black
21,9,black
21,10,white
22,1,black
22,2,white
22,3,black
22,4,black
22,5,white
22,6,black
22,7,black
22,8,black
22,9,black
22,10,white
23,1,black
23,2,white
23,3,black
23,4,black
23,5,white
23,6,black
23,7,black
23,8,black
23,9,black
23,10,white
24,1,black
24,2,white
24,3,black
24,4,black
24,5,white
24,6,black
24,7,black
24,8,black
24,9,black
24,10,white
25,1,black
25,2,white
25,3,black
25,4,black
25,5,white
25,6,black
25,7,black
25,8,black
25,9,black
25,10,white
26,1,black
26,2,white
26,3,black
26,4,black
26,5,white
26,6,black
26,7,black
26,8,black
26,9,black
26,10,white
27,1,black
27,2,white
27,3,black
27,4,black
27,5,white
27,6,black
27,7,black
27,8,black
27,9,black
27,10,white
28,1,black
28,2,white
28,3,black
28,4,black
28,5,white
28,6,black
28,7,black
28,8,black
28,9,black
28,10,white
29,1,black
29,2,white
29,3,black
29,4,black
29,5,white
29,6,black
29,7,black
29,8,black
29,9,black
29,10,white
30,1,black
30,2,white
30,3,black
30,4,black
30,5,white
30,6,black
30,7,black
30,8,black
30,9,black
30,10,white
31,1,black
31,2,white
31,3,black
31,4,black
31,5,white
31,6,black
31,7,black
31,8,black
31,9,black
31,10,white
32,1,black
32,2,white
32,3,black
32,4,black
32,5,white
32,6,black
32,7,black
32,8,black
32,9,black
32,10,white
33,1,black
33,2,white
33,3,black
33,4,black
33,5,white
33,6,black
33,7,black
33,8,black
33,9,black
33,10,white
34,1,black
34,2,white
34,3,black
34,4,black
34,5,white
34,6,black
34,7,black
34,8,black
34,9,black
34,10,white
35,1,black
35,2,white
35,3,black
35,4,black
35,5,white
35,6,black
35,7,black
35,8,black
35,9,black
35,10,white
36,1,black
36,2,white
36,3,black
36,4,black
36,5,white
36,6,black
36,7,black
36,8,black
36,9,black
36,10,white
37,1,black
37,2,white
37,3,black
37,4,black
37,5,white
37,6,black
37,7,black
37,8,black
37,9,black
37,10,white
38,1,black
38,2,white
38,3,black
38,4,black
38,5,white
38,6,black
38,7,black
38,8,black
38,9,black
38,10,white
39,1,black
39,2,white
39,3,black
39,4,black
39,5,white
39,6,black
39,7,black
39,8,black
39,9,black
39,10,white
40,1,black
40,2,white
40,3,black
40,4,black
40,5,white
40,6,black
40,7,black
40,8,black
40,9,black
40,10,white
41,1,black
41,2,white
41,3,black
41,4,black
41,5,white
41,6,black
41,7,black
41,8,black
41,9,black
41,10,white
42,1,black
42,2,white
42,3,black
42,4,black
42,5,white
42,6,black
42,7,black
42,8,black
42,9,black
42,10,white
43,1,black
43,2,white
43,3,black
43,4,black
43,5,white
43,6,black
43,7,black
43,8,black
43,9,black
43,10,white
44,1,black
44,2,white
44,3,black
44,4,black
44,5,white
44,6,black
44,7,black
44,8,black
44,9,black
44,10,white
45,1,black
45,2,white
45,3,black
45,4,black
45,5,white
45,6,black
45,7,black
45,8,black
45,9,black
45,10,white
46,1,black
46,2,white
46,3,black
46,4,black
46,5,white
46,6,black
46,7,black
46,8,black
46,9,black
46,10,white
47,1,black
47,2,white
47,3,black
47,4,black
47,5,white
47,6,black
47,7,black
47,8,black
47,9,black
47,10,white
48,1,black
48,2,white
48,3,black
48,4,black
48,5,white
48,6,black
48,7,black
48,8,black
48,9,black
48,10,white
49,1,black
49,2,white
49,3,black
49,4,black
49,5,white
49,6,black
49,7,black
49,8,black
49,9,black
49,10,white
50,1,black
50,2,white
50,3,black
50,4,black
50,5,white
50,6,black
50,7,black
50,8,black
50,9,black
50,10,white
51,1,black
51,2,white
51,3,black
51,4,black
51,5,white
51,6,black
51,7,black
51,8,black
51,9,black
51,10,white
52,1,black
52,2,white
52,3,black
52,4,black
52,5,white
52,6,black
52,7,black
52,8,black
52,9,black
52,10,white
53,1,black
53,2,white
53,3,black
53,4,black
53,5,white
53,6,black
53,7,black
53,8,black
53,9,black
53,10,white
54,1,black
54,2,white
54,3,black
54,4,black
54,5,white
54,6,black
54,7,black
54,8,black
54,9,black
54,10,white
55,1,black
55,2,white
55,3,black
55,4,black
55,5,white
55,6,black
55,7,black
55,8,black
55,9,black
55,10,white
56,1,black
56,2,white
56,3,black
56,4,black
56,5,white
56,6,black
56,7,black
56,8,black
56,9,black
56,10,white
57,1,black
57,2,white
57,3,black
57,4,black
57,5,white
57,6,black
57,7,black
57,8,black
57,9,black
57,10,white
58,1,black
58,2,white
58,3,black
58,4,black
58,5,white
58,6,black
58,7,black
58,8,black
58,9,black
58,10,white
59,1,black
59,2,white
59,3,black
59,4,black
59,5,white
59,6,black
59,7,black
59,8,black
59,9,black
59,10,white
60,1,black
60,2,white
60,3,black
60,4,black
60,5,white
60,6,black
60,7,black
60,8,black
60,9,black
60,10,white
61,1,black
61,2,white
61,3,black
61,4,black
61,5,white
61,6,black
61,7,black
61,8,black
61,9,black
61,10,white
62,1,black
62,2,white
62,3,black
62,4,black
62,5,white
62,6,black
62,7,black
62,8,black
62,9,black
62,10,white
63,1,black
63,2,white
63,3,black
63,4,black
63,5,white
63,6,black
63,7,black
63,8,black
63,9,black
63,10,white
64,1,black
64,2,white
64,3,black
64,4,black
64,5,white
64,6,black
64,7,black
64,8,black
64,9,black
64,10,white
65,1,black
65,2,white
65,3,black
65,4,black
65,5,white
65,6,black
65,7,black
65,8,black
65,9,black
65,10,white
66,1,black
66,2,white
66,3,black
66,4,black
66,5,white
66,6,black
66,7,black
66,8,black
66,9,black
66,10,white
67,1,black
67,2,white
67,3,black
67,4,black
67,5,white
67,6,black
67,7,black
67,8,black
67,9,black
67,10,white
68,1,black
68,2,white
68,3,black
68,4,black
68,5,white
68,6,black
68,7,black
68,8,black
68,9,black
68,10,white
69,1,black
69,2,white
69,3,black
69,4,black
69,5,white
69,6,black
69,7,black
69,8,black
69,9,black
69,10,white
70,1,black
70,2,white
70,3,black
70,4,black
70,5,white
70,6,black
70,7,black
70,8,black
70,9,black
70,10,white
71,1,black
71,2,white
71,3,black
71,4,black
71,5,white
71,6,black
71,7,black
71,8,black
71,9,black
71,10,white
72,1,black
72,2,white
72,3,black
72,4,black
72,5,white
72,6,black
72,7,black
