id,race,age,gender,hand,country,A_1,A_10,A_2,A_3,A_4,A_5,A_6,A_7,A_8,A_9,C_1,C_10,C_2,C_3,C_4,C_5,C_6,C_7,C_8,C_9,E_1,E_10,E_2,E_3,E_4,E_5,E_6,E_7,E_8,E_9,N_1,N_10,N_2,N_3,N_4,N_5,N_6,N_7,N_8,N_9,O_1,O_10,O_2,O_3,O_4,O_5,O_6,O_7,O_8,O_9
1,3,53,1,1,US,1,5,5,1,5,2,3,1,5,4,4,5,1,5,1,5,1,4,1,4,4,1,2,5,2,5,1,4,3,5,1,1,5,2,5,1,1,1,1,1,4,5,1,3,1,5,1,4,2,5
2,13,46,2,1,US,1,3,3,3,4,4,4,2,3,4,4,4,1,3,2,3,1,5,1,4,2,5,2,3,3,3,3,1,5,1,2,4,3,4,2,3,4,3,2,2,3,2,3,3,3,2,3,3,1,3
3,1,14,2,1,PK,5,5,1,5,5,1,5,1,5,5,4,5,1,5,1,5,1,5,1,5,5,1,1,1,4,5,1,1,5,5,5,5,1,5,5,5,5,5,5,5,4,5,5,5,1,5,1,5,5,5
4,3,19,2,1,RO,2,3,5,4,4,3,5,3,4,4,3,3,3,4,5,1,4,5,4,2,2,5,5,2,4,3,4,3,4,4,5,5,4,4,2,4,5,5,5,4,4,5,3,5,2,4,2,5,2,5
5,11,25,2,1,US,5,5,5,3,5,1,5,1,5,5,3,3,1,5,3,3,1,1,3,3,3,5,1,3,3,3,1,3,1,3,3,4,3,3,4,3,3,3,3,3,3,3,1,1,1,3,1,3,1,5
6,13,31,2,1,US,2,3,2,3,4,3,4,3,5,5,2,3,5,4,3,3,4,5,3,5,1,5,5,2,4,1,3,2,4,1,1,2,5,4,5,1,4,4,1,5,4,3,2,1,3,3,5,5,4,5
7,5,20,2,1,US,5,5,5,1,5,1,5,1,5,4,2,3,4,3,3,3,3,3,3,3,5,1,1,5,1,5,1,5,4,4,2,2,4,2,4,2,2,3,2,2,3,4,1,5,1,4,1,4,3,3
8,4,23,1,1,IN,2,5,5,1,4,3,3,1,3,4,4,5,2,5,1,4,1,4,1,3,4,3,3,5,3,5,1,4,3,4,1,1,4,4,4,1,1,1,1,1,3,5,1,5,1,4,1,5,3,2
9,5,39,2,3,US,1,4,5,1,5,1,5,1,5,5,4,3,3,5,2,5,2,5,2,4,3,3,1,5,1,5,1,5,2,5,2,3,4,5,3,3,5,5,4,3,3,5,3,5,3,5,1,5,3,4
10,3,18,2,1,US,2,2,3,1,4,2,4,3,3,3,5,4,2,4,2,3,2,4,2,4,1,5,4,2,5,2,4,1,4,1,5,4,2,5,2,3,4,3,2,3,4,4,2,5,2,4,1,4,3,4
